耀	-10.2300439058	-12.3906208881	0.0974451870823
110554	-12.6279391786	-12.3906208881	0.0974451870823
茂	-11.3751762101	-11.6974737075	0.0974451870823
涉	-11.1238617818	-12.3906208881	0.0974451870823
谈	-10.6820290295	-11.2920085994	0.0974451870823
る	-12.6279391786	-12.3906208881	0.0974451870823
伊	-11.3751762101	-12.3906208881	0.0974451870823
亟	-11.934791998	-12.3906208881	0.0974451870823
洞	-10.8361797093	-12.3906208881	0.0974451870823
scanadu	-12.6279391786	-12.3906208881	0.0974451870823
10890	-12.6279391786	-12.3906208881	0.0974451870823
般	-8.42324655917	-10.1933963107	0.0974451870823
河	-10.8361797093	-12.3906208881	0.0974451870823
临	-8.70596584228	-9.44618190892	0.0974451870823
吸	-8.78848686597	-12.3906208881	0.0974451870823
场	-7.71528429283	-10.444710739	0.0974451870823
线	-7.23658694605	-7.83674399648	0.0974451870823
asddsadasd	-12.6279391786	-12.3906208881	0.0974451870823
wjm	-13.3210863591	-9.82567153062	0.0974451870823
反	-7.84462280719	-11.004326527	0.0974451870823
牌	-8.89026956028	-10.1933963107	0.0974451870823
雏	-11.5293268899	-12.3906208881	0.0974451870823
1343080442	-12.6279391786	-12.3906208881	0.0974451870823
姑	-11.1238617818	-12.3906208881	0.0974451870823
筒	-9.73756742067	-12.3906208881	0.0974451870823
嚏	-12.6279391786	-12.3906208881	0.0974451870823
yeelink	-12.6279391786	-12.3906208881	0.0974451870823
lumia	-11.7116484467	-12.3906208881	0.0974451870823
赞	-6.64274424447	-11.2920085994	0.0974451870823
瓣	-11.934791998	-12.3906208881	0.0974451870823
知	-6.14330394293	-6.44520027948	0.0974451870823
除	-8.62973847689	-11.004326527	0.0974451870823
彪	-12.2224740705	-12.3906208881	0.0974451870823
31830793	-13.3210863591	-8.9566336836	0.0974451870823
扬	-10.4878730151	-12.3906208881	0.0974451870823
╮	-10.613036158	-12.3906208881	0.0974451870823
闹	-9.31375317389	-12.3906208881	0.0974451870823
愁	-10.6820290295	-12.3906208881	0.0974451870823
覆	-9.5368967252	-11.6974737075	0.0974451870823
968	-12.6279391786	-12.3906208881	0.0974451870823
》	-9.31375317389	-7.74622998894	0.0974451870823
脖	-11.0185012661	-12.3906208881	0.0974451870823
